Type	SeqNo	RetxCount
BestRoute	1209	1
BestRoute	1211	1
BestRoute	1213	1
BestRoute	1215	1
BestRoute	1216	1
BestRoute	1218	1
BestRoute	1220	1
BestRoute	1222	1
BestRoute	1223	1
BestRoute	1225	1
BestRoute	1227	1
BestRoute	1230	1
BestRoute	1231	1
BestRoute	1233	1
BestRoute	1235	1
BestRoute	1238	1
BestRoute	1239	1
BestRoute	1241	1
BestRoute	1243	1
BestRoute	1246	1
BestRoute	1048	2
BestRoute	1051	2
BestRoute	1053	2
BestRoute	1055	2
BestRoute	1058	2
BestRoute	1060	2
BestRoute	1062	2
BestRoute	1065	2
BestRoute	1067	2
BestRoute	1109	2
BestRoute	1112	2
BestRoute	1114	2
BestRoute	1116	2
BestRoute	1119	2
BestRoute	1121	2
BestRoute	1123	2
BestRoute	1126	2
BestRoute	1128	2
BestRoute	1130	2
BestRoute	1133	2
BestRoute	1135	2
BestRoute	1137	2
BestRoute	1140	2
BestRoute	1142	2
BestRoute	1144	2
BestRoute	1147	2
BestRoute	1149	2
BestRoute	1151	2
BestRoute	1154	2
BestRoute	1156	2
BestRoute	1158	2
BestRoute	1179	2
BestRoute	1182	2
BestRoute	1184	2
BestRoute	1186	2
BestRoute	1189	2
BestRoute	1191	2
BestRoute	1193	2
BestRoute	1196	2
BestRoute	1161	2
BestRoute	1198	2
BestRoute	1200	2
BestRoute	1163	2
BestRoute	1165	2
BestRoute	1203	2
BestRoute	1205	2
BestRoute	1168	2
BestRoute	1207	2
BestRoute	1210	2
BestRoute	1170	2
BestRoute	1172	2
BestRoute	1212	2
BestRoute	1214	2
BestRoute	1175	2
BestRoute	1177	2
BestRoute	1217	2
BestRoute	1219	2
BestRoute	1221	2
BestRoute	1224	2
BestRoute	1226	2
BestRoute	1228	2
BestRoute	1229	2
BestRoute	1232	2
BestRoute	1247	1
BestRoute	1248	1
BestRoute	1249	1
BestRoute	1250	1
BestRoute	1251	1
BestRoute	1252	1
BestRoute	1253	1
BestRoute	1254	1
BestRoute	1255	1
BestRoute	1256	1
BestRoute	1257	1
BestRoute	1258	1
BestRoute	1259	1
BestRoute	1260	1
BestRoute	1261	1
BestRoute	1262	1
BestRoute	1263	1
BestRoute	1264	1
BestRoute	1265	1
BestRoute	1266	1
BestRoute	1267	1
BestRoute	1268	1
BestRoute	1269	1
BestRoute	1270	1
BestRoute	1271	1
BestRoute	1272	1
BestRoute	1273	1
BestRoute	1274	1
BestRoute	1275	1
BestRoute	1276	1
BestRoute	1277	1
BestRoute	1278	1
BestRoute	1279	1
BestRoute	1280	1
BestRoute	1281	1
BestRoute	1282	1
BestRoute	1283	1
BestRoute	1284	1
BestRoute	1285	1
BestRoute	1286	1
BestRoute	1287	1
BestRoute	1288	1
BestRoute	1289	1
BestRoute	1290	1
BestRoute	1291	1
BestRoute	1292	1
BestRoute	1293	1
BestRoute	1234	2
BestRoute	1236	2
BestRoute	1295	1
BestRoute	1237	2
BestRoute	1296	1
