Type	SeqNo	Delay
BestRoute	662	174.332000
BestRoute	664	174.332000
BestRoute	665	174.332000
BestRoute	667	174.332000
BestRoute	669	174.332000
BestRoute	671	174.332000
BestRoute	672	176.458000
BestRoute	674	176.458000
BestRoute	676	176.458000
BestRoute	678	176.458000
BestRoute	679	176.458000
BestRoute	681	176.458000
BestRoute	683	176.458000
BestRoute	685	176.458000
BestRoute	686	178.584000
BestRoute	688	178.584000
BestRoute	690	178.584000
BestRoute	692	178.584000
BestRoute	693	178.584000
BestRoute	695	178.584000
BestRoute	697	178.584000
BestRoute	699	178.584000
BestRoute	700	180.710000
BestRoute	702	180.710000
BestRoute	704	180.710000
BestRoute	706	180.710000
BestRoute	707	180.710000
BestRoute	709	180.710000
BestRoute	711	180.710000
BestRoute	713	180.710000
BestRoute	714	182.836000
BestRoute	716	182.836000
BestRoute	718	182.836000
BestRoute	720	182.836000
BestRoute	721	182.836000
BestRoute	723	182.836000
BestRoute	725	182.836000
BestRoute	727	182.836000
BestRoute	728	184.962000
BestRoute	730	184.962000
BestRoute	732	184.962000
BestRoute	734	184.962000
BestRoute	735	184.962000
BestRoute	737	184.962000
BestRoute	571	610.529000
BestRoute	573	787.579000
BestRoute	576	787.579000
BestRoute	578	963.212000
BestRoute	580	963.212000
BestRoute	621	863.104000
BestRoute	624	862.395000
BestRoute	626	1034.480000
BestRoute	628	1033.780000
BestRoute	631	1030.940000
BestRoute	633	1030.230000
BestRoute	635	1029.520000
BestRoute	638	1028.820000
BestRoute	640	1028.110000
BestRoute	642	1027.400000
BestRoute	654	1175.150000
BestRoute	656	1174.440000
BestRoute	659	1171.600000
BestRoute	661	1170.890000
BestRoute	663	1170.190000
BestRoute	666	1169.480000
BestRoute	668	1168.770000
BestRoute	670	1168.060000
BestRoute	673	1165.230000
BestRoute	675	1164.520000
BestRoute	677	1163.810000
BestRoute	680	1163.100000
BestRoute	645	1200.660000
BestRoute	647	1199.950000
BestRoute	649	1199.240000
BestRoute	652	1198.530000
BestRoute	739	119.225000
BestRoute	740	119.933000
BestRoute	741	122.059000
BestRoute	742	122.768000
BestRoute	743	124.894000
BestRoute	744	125.603000
BestRoute	745	127.729000
BestRoute	682	1312.970000
BestRoute	684	1312.260000
BestRoute	687	1309.430000
BestRoute	689	1308.720000
BestRoute	691	1308.010000
BestRoute	694	1307.300000
BestRoute	696	1306.600000
BestRoute	698	1305.890000
BestRoute	701	1303.050000
BestRoute	703	1302.340000
BestRoute	705	1301.630000
BestRoute	708	1300.930000
BestRoute	710	1300.220000
BestRoute	712	1299.510000
BestRoute	715	1296.670000
BestRoute	717	1295.970000
BestRoute	719	1295.260000
BestRoute	722	1294.550000
BestRoute	724	1293.840000
BestRoute	726	1293.130000
BestRoute	729	1290.300000
BestRoute	731	1289.590000
BestRoute	733	1288.880000
BestRoute	736	1288.170000
BestRoute	738	1287.460000
BestRoute	746	119.198000
BestRoute	747	121.324000
BestRoute	748	121.324000
BestRoute	749	123.450000
BestRoute	750	123.450000
BestRoute	751	125.576000
BestRoute	752	125.576000
BestRoute	753	127.702000
BestRoute	754	127.702000
BestRoute	755	129.828000
BestRoute	756	129.828000
BestRoute	757	131.954000
BestRoute	758	131.954000
BestRoute	759	134.080000
BestRoute	760	119.198000
BestRoute	761	121.324000
BestRoute	762	122.033000
BestRoute	763	124.159000
BestRoute	764	124.867000
BestRoute	765	126.993000
BestRoute	766	127.702000
BestRoute	767	129.828000
BestRoute	768	130.537000
BestRoute	769	132.663000
BestRoute	770	133.371000
BestRoute	771	135.497000
BestRoute	772	136.206000
BestRoute	773	138.332000
BestRoute	774	139.041000
BestRoute	775	141.167000
BestRoute	776	141.875000
BestRoute	777	144.001000
BestRoute	778	144.710000
BestRoute	779	146.836000
BestRoute	780	147.545000
BestRoute	781	149.671000
BestRoute	782	150.379000
BestRoute	783	152.505000
BestRoute	784	153.214000
BestRoute	785	155.340000
BestRoute	786	156.049000
BestRoute	787	158.175000
BestRoute	788	158.883000
BestRoute	789	161.009000
BestRoute	790	161.718000
BestRoute	791	163.844000
BestRoute	792	164.553000
BestRoute	793	166.679000
BestRoute	794	167.387000
BestRoute	795	169.513000
BestRoute	796	170.222000
BestRoute	797	172.348000
BestRoute	798	173.057000
BestRoute	799	175.183000
BestRoute	800	175.891000
BestRoute	801	178.017000
BestRoute	802	178.726000
BestRoute	803	180.852000
BestRoute	804	181.561000
BestRoute	805	183.687000
BestRoute	806	184.395000
BestRoute	808	185.104000
BestRoute	809	187.230000
BestRoute	810	135.532000
BestRoute	811	137.658000
BestRoute	812	137.658000
BestRoute	813	139.784000
BestRoute	814	139.784000
BestRoute	815	141.910000
BestRoute	816	141.910000
BestRoute	817	144.036000
BestRoute	818	144.036000
BestRoute	819	146.162000
BestRoute	820	146.162000
BestRoute	821	148.288000
BestRoute	822	148.288000
BestRoute	823	150.414000
BestRoute	824	150.414000
BestRoute	825	152.540000
BestRoute	826	152.540000
BestRoute	827	154.666000
BestRoute	828	154.666000
BestRoute	829	156.792000
BestRoute	830	156.792000
BestRoute	831	158.918000
BestRoute	832	158.918000
BestRoute	833	161.044000
BestRoute	834	161.044000
BestRoute	835	163.170000
BestRoute	836	163.170000
BestRoute	837	165.296000
BestRoute	838	163.702000
BestRoute	840	163.702000
BestRoute	841	165.828000
BestRoute	843	165.828000
BestRoute	845	165.828000
BestRoute	847	165.828000
BestRoute	848	165.828000
BestRoute	850	165.828000
BestRoute	852	165.828000
BestRoute	854	165.828000
BestRoute	855	167.954000
BestRoute	857	167.954000
BestRoute	859	167.954000
BestRoute	861	167.954000
BestRoute	862	167.954000
BestRoute	864	167.954000
BestRoute	866	167.954000
BestRoute	868	167.954000
BestRoute	869	170.080000
